poem	text	lemmatized_text
ada salas_bosque.txt	"Estos
pájaros
-ahora, sí, tan nítidos-
que oigo -su canto: esa luz-
convierten
la ciudad
en el centro de un bosque.
Apenas dicen nada
de la muerte
dicen:
yo soy
la primavera.
Estoy de nuevo aquí.
Me acerco a tu ventana luego
dicen:
también
entre el horror
más pura
la belleza."	"este 
 pájaro 
 -ahora , sí , tanto nítidos- 
 que oír -su canto : ese luz- 
 convertir 
 el ciudad 
 en el centro de uno bosque . 
 apenas decir nada 
 de el muerte 
 decir : 
 yo ser 
 el primavera . 
 estar de nuevo aquí . 
 yo acercar a tu ventana luego 
 decir : 
 también 
 entre el horror 
 más puro 
 el belleza ."
mariola loleón_poema roto.txt	"Hoy de dolor estoy rota
Viendo tanto sufrimiento salir
De lo que avasallando como feroz ola
Nos hace llorar y desaliento sentir
Pienso y hablo por aquellos
Que nos sentimos frustrados
Por no poder combatir
Por permanecer aislados
Sintiendo angustia afligir
Lágrimas que denotan sensibilidad
De nuestros corazones amados
Se tornarán cada tarde en aplausos 
por los que luchan Agotados
se levantarán llenos de energía de nuevo
a batalla llamados
mientras los que permanecemos aquí
los miramos admirados
dedicamos a su vez la tristeza
por aquellas víctimas que se han ido
mas desde el cielo velan por nosotros
porque sólo a un viaje distinto han partido
hoy, quedarse en casa salva vidas
hay bondad en ese actuar
porque hemos de mostrar coraje
aunque a nuestro pecho oprima el pesar
porque por todos pararemos este cruel oleaje
y vamos a volver a salir al mundo
a brillar
"	"hoy de dolor estar roto 
 ver tanto sufrimiento salir 
 De él que avasallar como feroz ola 
 yo hacer llorar y desalientir sentir 
 pensar y hablar por aquel 
 que yo sentir frustrado 
 por no poder combatir 
 Por permanecer aislado 
 sentir angustia afligir 
 lágrima que denotar sensibilidad 
 de nuestro corazón amado 
 él tornar cada tarde en aplauso 
 por el que luchar agotado 
 él levantar lleno de energía de nuevo 
 a batalla llamado 
 mientras el que permanecer aquí 
 él mirar admirado 
 dedicar a su vez el tristeza 
 por aquel víctima que él haber ir 
 mas desde el cielo velar por yo 
 porque sólo a uno viaje distinto haber partir 
 hoy , quedar él en casa salir vida 
 haber bondad en ese actuar 
 porque haber de mostrar coraje 
 aunque a nuestro pecho oprimir el pesar 
 porque por todo parar este cruel oleaje 
 y ir a volver a salir al mundo 
 a brillar 
"
twin melody_quédate en tu casa.txt	"Quédate en tu casa
No se qué te pasa
Esto no es broma
Ni noticia falsa
El Covid19 está que arrasa
Este virus con la tos y el tacto 
Se traspasa
Así que lávate las manos
Quítate la grasa
Si lo haces bien
Esto no fracasa
Yo lo tengo claro
No me sobrepasa
El confinamiento cada día se retrasa
El personal médico da mucha esperanza
Así que no seas insensato
O insensata
Quédate en tu casa
"	"quedar tú en tu casa 
 no él qué tú pasar 
 este no ser broma 
 ni noticia falso 
 el Covid19 estar que arrasar 
 este virus con el tos y el tacto 
 él traspasar 
 así que lavar tú el mano 
 quitar tú el grasa 
 Si él hacer bien 
 este no fracasar 
 yo él tener claro 
 no yo sobrepasar 
 el confinamiento cada día él retrasar 
 el personal médico dar mucho esperanza 
 así que no ser insensato 
 o insensato 
 quedar tú en tu casa 
"
sara-bueno_sin-titulo2.txt	"No tengas miedo, mamá.
La primera que aprenda a ser feliz
enseñará a la otra.
"	"no tener miedo , mamá . 
 el primero que aprender a ser feliz 
 enseñar a el otro . 
"
monica naranjo_sobreviviré.txt	"Tengo el ansia de la juventud
tengo miedo lo mismo que tú
Y cada amanecer me derrumbo al ver
La puta realidad
No hay en el mundo, no
Nadie más frágil que yo

Pelo acrílico, cuero y tacón
Maquillaje hasta en el corazón
Y al anochecer vuelve a florecer
Lúbrica la ciudad
No hay en el mundo, no
Nadie más dura que yo

Ah!, ah!, ah!
Debo sobrevivir, mintiéndome

Taciturna me hundí en aquel bar
Donde un ángel me dijo al entrar:
""Ven y elévate como el humo azul
No sufras más amor""
Y desgarrándome
Algo en mi vida cambió

Sobreviviré
Buscaré un hogar
Entre los escombros de mi soledad
Paraiso extraño
Donde no estás tú
Y aunque duela quiero libertad
Aunque me haga daño

Ah!, ah!, ah!
Debo sobrevivir, mintiéndome

Taciturna me hundí en aquel bar
Donde un ángel me dijo al entrar:
""Ven y elévate como el humo azul
No sufras más amor""
Y desgarrándome
Algo en mi vida cambió

Sobreviviré
Buscaré un hogar
Entre los escombros de mi soledad
Paraiso extraño
Donde no estás tú
Y aunque duela quiero libertad
Aunque me haga daño"	"tener el ansia de el juventud 
 tener miedo él mismo que tú 
 y cada amanecer yo derrumbar al ver 
 el puto realidad 
 no haber en el mundo , no 
 nadie más frágil que yo 

 pelo acrílico , cuero y tacón 
 maquillaje hasta en el corazón 
 y al anochecer volver a florecer 
 lúbrico el ciudad 
 no haber en el mundo , no 
 nadie más duro que yo 

 Ah ! , ah ! , ah ! 
 deber sobrevivir , mentir yo 

 taciturno yo hundir en aquel bar 
 donde uno ángel yo decir al entrar : 
 "" venir y elevar tú como el humo azul 
 no sufrir más amor "" 
 y desgarrar yo 
 algo en mi vida cambiar 

 sobrevivir 
 buscar uno hogar 
 entre el escombro de mi soledad 
 Paraiso extraño 
 donde no estar tú 
 y aunque doler querer libertad 
 Aunque yo hacer daño 

 ah ! , ah ! , ah ! 
 deber sobrevivir , mentir yo 

 taciturno yo hundir en aquel bar 
 donde uno ángel yo decir al entrar : 
 "" venir y elevar tú como el humo azul 
 no sufrir más amor "" 
 y desgarrar yo 
 algo en mi vida cambiar 

 sobrevivir 
 buscar uno hogar 
 entre el escombro de mi soledad 
 paraiso extraño 
 donde no estar tú 
 y aunque doler querer libertad 
 Aunque yo hacer daño"
almudena-torres_cantábrico.txt	"El mar que bañaba mi vida
estaba siempre en calma.
Las olas iban,
las olas venían,
la vida continuaba…
"	"el mar que bañar mi vida 
 estar siempre en calma . 
 el ola ir , 
 el ola venir , 
 el vida continuar … 
"
clara-marias_separados-por-el-mar.txt	"Separados por el mar,
sentimos lo mismo,
una misma frustración
y un mismo anhelo:
que se acabe todo ya,
si no es una pesadilla;
que se acabe todo ya
si no es un mal sueño

Separados por el mar,
sentimos el mismo miedo
y la misma sensación:
nada podemos hacer,
nada podemos hacer
para ayudar
más que esperar y aguantar,
y aguantar.

Separados por el mar,
y entre cuatro paredes,
una misma soledad
y este deseo
de escuchar buenas noticias.

No conocimos la guerra
y esta es nuestra angustia:
si sabremos resistir
esta primera prueba.

Que se acabe todo ya,
si no es una pesadilla
que se acabe todo ya;
de Nápoles a Sevilla,
de Nueva York a Wuhan
y de Madrid a Milán.

Que no haya más muertos,
que se acabe todo ya,
que hasta los ateos rezamos estos días.
"	"separado por el mar , 
 sentir él mismo , 
 uno mismo frustración 
 y uno mismo anhelo : 
 que él acabar todo ya , 
 si no ser uno pesadilla ; 
 que él acabar todo ya 
 si no ser uno mal sueño 

 separado por el mar , 
 sentir el mismo miedo 
 y el mismo sensación : 
 nada poder hacer , 
 nada poder hacer 
 para ayudar 
 más que esperar y aguantar , 
 y aguantar . 

 separado por el mar , 
 y entre cuatro pared , 
 uno mismo soledad 
 y este deseo 
 de escuchar buena noticia . 

 no conocer el guerra 
 y este ser nuestro angustia : 
 si saber resistir 
 este primero prueba . 

 que él acabar todo ya , 
 si no ser uno pesadilla 
 que él acabar todo ya ; 
 de Nápoles a Sevilla , 
 de Nueva York a Wuhan 
 y de Madrid a Milán . 

 que no haber más muerto , 
 que él acabar todo ya , 
 que hasta el ateo rezar este día . 
"
mariano peyrou_s-t.txt	"somos como los demás, pero vemos unas líneas recorriéndolo todo
separándolo todo
cómo el suelo se mueve, los recuerdos
clavados, cayendo o esparcidos sobre la tierra
las cosas nos sonríen y amenazan, se mezclan
las estrellas y las caras de la gente
no se siente tristeza porque no contrasta con nada
una vez vi el campo
quise poder estar solo en el mundo
lleno de voces
ellos tienen hijos nosotros
somos nuestros hijos
caminamos sobre nuestras huellas
y no tenemos piernas
y somos muchos
caminando sobre apenas dos pies
y nos deshacemos
de tanto escuchar a todos los que tenemos dentro"	"ser como el demá , pero ver uno línea recorrer él todo 
 separar él todo 
 cómo el suelo él mover , el recuerdo 
 clavado , caer o esparcido sobre el tierra 
 el cosa yo sonreir y amenazar , él mezclar 
 el estrella y el cara de el gente 
 no él sentir tristeza porque no contrastar con nada 
 uno vez ver el campo 
 querer poder estar solo en el mundo 
 lleno de voz 
 él tener hijo yo 
 ser nuestro hijo 
 caminar sobre nuestro huella 
 y no tener pierna 
 y ser mucho 
 caminar sobre apenas dos pie 
 y yo deshacer 
 de tanto escuchar a todo el que tener dentro"
jorge drexler_ya volveran los abrazos.txt	"a volverán los abrazos,
los besos dados con calma,
si te encuentras un amigo
salúdalo con el alma.
Sonríe, tírale un beso,
desde lejos sé cercano,
no se toca el corazón
solamente con la mano.
La paranoia y el miedo
no son, ni serán el modo,
de esta saldremos juntos
poniendo codo con codo.
Mira a la gente a los ojos,
demuéstrale que te importa,
mantén a distancias largas
tu amor de distancias cortas.
Si puedes, no te preocupes,
con ocuparte ya alcanza,
y dejar que sea el amor
el que incline la balanza.
La paranoia y el miedo no son,
ni serán el modo,
de esta saldremos juntos
poniendo codo con codo."	"a volver el abrazo , 
 el beso dado con calma , 
 si tú encontrar uno amigo 
 saluda él con el alma . 
 sonríar , tira él uno beso , 
 desde lejos saber cercano , 
 no él tocar el corazón 
 solamente con el mano . 
 el paranoia y el miedo 
 no ser , ni ser el modo , 
 de este salir junto 
 poner codo con codo . 
 mirar a el gente a el ojo , 
 demuestra él que tú importar , 
 manténir a distancia larga 
 tu amor de distancia corto . 
 si poder , no tú preocupar , 
 con ocupar tú ya alcanzar , 
 y dejar que ser el amor 
 el que inclinar el balanza . 
 el paranoia y el miedo no ser , 
 ni ser el modo , 
 de este salir junto 
 poner codo con codo ."
marwan_un extraño utensilio.txt	"Me llevo a papá al hospital,
le está costando respirar.
Son las 21:35 del miércoles 25 de marzo.
Las calles son pasillos de geriátrico.
El miedo toma forma real,
se acomoda en mi familia.
 
Mi padre está peleando contra el aire
en una habitación de un hospital del sur de Madrid.
Mi hermano es enfermero allí,
él lo cuidará, nos decimos,
buscando la suerte en la desgracia.
Pero nada es fácil,
la angustia es una goma elástica,
el miedo, un tubo de ensayo,
vivo en una de las negrísimas pinturas de Goya.
 
La esperanza es solamente un extraño utensilio
que hoy sostengo entre las manos,
el tiempo un lento tren que no quiere atravesar el paisaje.
Soy el niño que llora por el dolor del hombre
que no puede sostenerle la mano a su padre.
 
La rama es fuerte, la vida, un pez remontando río arriba,
papá se recupera.
 
¿Cómo no pensar en ellos,
en los que se quedaron colgados
como una chaqueta en la última conversación
con un familiar del que no se pudieron despedir?
 
La esperanza es solamente un extraño utensilio
que se sostiene entre las manos."	"yo llevar a papá al hospital , 
 él estar costar respirar . 
 ser el 21:35 del miércoles 25 de marzo . 
 el calle ser pasillo de geriátrico . 
 el miedo tomar forma real , 
 él acomodar en mi familia . 
 
 mi padre estar pelear contra el aire 
 en uno habitación de uno hospital del sur de Madrid . 
 mi hermano ser enfermero allí , 
 él él cuidar , yo decir , 
 buscar el suerte en el desgracia . 
 pero nada ser fácil , 
 el angustia ser uno goma elástico , 
 el miedo , uno tubo de ensayo , 
 vivo en uno de el negrísima pintura de Goya . 
 
 el esperanza ser solamente uno extraño utensilio 
 que hoy sostener entre el mano , 
 el tiempo uno lento tren que no querer atravesar el paisaje . 
 ser el niño que llorar por el dolor del hombre 
 que no poder sostener él el mano a su padre . 
 
 el rama ser fuerte , el vida , uno pez remontar río arriba , 
 papá él recuperar . 
 
 ¿ cómo no pensar en él , 
 en el que él quedar colgado 
 como uno chaqueta en el último conversación 
 con uno familiar del que no él poder despedir ? 
 
 el esperanza ser solamente uno extraño utensilio 
 que él sostener entre el mano ."
vanesa martín_un canto a la vida.txt	"Me despierto ante la vida
Como el niño que camina
Voy haciendo fuerte el corazón
En cada intento
Se levantan las banderas
Algo nuevo nos espera
Quedan tantas cosas bellas que alcanzar

No te me caigas hoy
Cógeme fuerte y seguiré
Contigo
Yo soy del mar
Soy del Sol
Soy de la tierra
Que nace del alma
Y envuelve tu voz

Soy de ti
Soy sin más
Ese grito que viaja en el aire
Y te hace volar
Ese grito de amor
Ese grito de paz
Ese canto a la vida

Porque el sueño está en mis manos
Si tú quieres lo salvamos
Y que nadie nos empañe la razón
Hoy me entrego a lo que soy
No soy ni un sentimiento
Estás a tiempo, siéntelo

No te me caigas, no
Cógeme fuerte y seguiré
Contigo
Yo soy del mar
Soy del Sol
Soy de la tierra
Que nace del alma
Y envuelve tu voz

Soy de ti
Soy sin más
Ese grito que viaja en el aire
Y te hace volar

Ese grito de amor
Ese grito de paz
El que entiende la vida
Soy el soplo del aire que viene y que va
Soy de la tierra

Soy de ti
Soy sin más
Ese grito que viaja en el aire
Y te hace volar
Ese grito de amor
Ese grito de paz
Ese canto a la vida"	"yo despertar ante el vida 
 Como el niño que caminar 
 ir hacer fuerte el corazón 
 en cada intento 
 él levantar el bandera 
 algo nuevo yo esperar 
 quedar tanto cosa bello que alcanzar 

 no tú yo caer hoy 
 coger yo fuerte y seguir 
 tú 
 yo ser del mar 
 ser del Sol 
 ser de el tierra 
 que nacer del alma 
 Y envolver tu voz 

 ser de tú 
 ser sin más 
 ese grito que viajar en el aire 
 Y tú hacer volar 
 ese grito de amor 
 ese grito de paz 
 ese canto a el vida 

 Porque el sueño estar en mi mano 
 si tú querer él salir 
 Y que nadie yo empañar el razón 
 hoy yo entregar a él que ser 
 no ser ni uno sentimiento 
 estar a tiempo , sienir tú él 

 no tú yo caer , no 
 coger yo fuerte y seguir 
 tú 
 yo ser del mar 
 ser del Sol 
 ser de el tierra 
 que nacer del alma 
 Y envolver tu voz 

 ser de tú 
 ser sin más 
 ese grito que viajar en el aire 
 Y tú hacer volar 

 ese grito de amor 
 ese grito de paz 
 el que entender el vida 
 ser el soplo del aire que venir y que ir 
 ser de el tierra 

 ser de tú 
 ser sin más 
 ese grito que viajar en el aire 
 Y tú hacer volar 
 ese grito de amor 
 ese grito de paz 
 ese canto a el vida"
farruko_el tiempo pasa.txt	"Quisiera tener una máquina del tiempo
Para viajar directamente hasta el pasado
Y disfrutarme uno a uno esos momentos
Porque no me perdono haberlos ignorado
Recuerdo aquella tarde en casa de mi abuela
Comiendo chuleta y arroz con habichuelas
Los vacilones con los panitas en la escuela
Cierros los ojos y mi mente vuela
Porque el tiempo pasa y yo
Me sigo preguntando' cómo se para el reloj
Por qué se tiene que acabar la vida
Por qué no se sanarán las heridas
Hay tantas cosas que uno las descuida
Es que hay personas que nunca se olvidan
Como hay momentos que pa' atrás no viran
Lara Marcy Gang
Pri-yah, yah Farru
Quisiera volver al barrio de nuevo y por la calle correr
Descalzo como chamaquito cuando jugaba al escondel
Amigos que ya no están pero, my G, ya na' se puede hacer
Así es la vida y así hay que aceptarla tal y como es
A veces se gana, a veces se pierde
Este es mi destino y no fue por suerte
A mí los problemas me hacen más fuerte
Y fueron cantazos pa' que me despierte
El tiempo se ha ido, ido, pero yo no olvido, olvido
Las cosas que yo he vivido con los mío'
He sido más que bendecido, gracias a Dios que me ha cumplido
Todo lo que le he pedido, vivo más que agradecido
Por siempre agradecido
Porque el tiempo pasa y yo
Me sigo preguntando, cómo se para el reloj
Por qué se tiene que acabar la vida
Por qué no se sanarán las heridas
Hay tantas cosas que uno las descuida
Es que hay personas que nunca se olvidan
Como hay momentos que pa' atrás no viran
Quisiera tener una máquina del tiempo
Para viajar directamente hasta el pasado
Y disfrútarme uno a uno esos momentos
Porque no me perdono haberlos ignorado
"	"querer tener uno máquina del tiempo 
 Para viajar directamente hasta el pasado 
 Y disfrutar yo uno a uno ese momento 
 porque no yo perdonar haber él ignorar 
 recordar aquel tarde en casa de mi abuela 
 comer chuleta y arroz con habichuela 
 el vacilón con el panita en el escuela 
 cierros el ojo y mi mente volar 
 porque el tiempo pasar y yo 
 yo seguir preguntar ' cómo él parar el reloj 
 Por qué él tener que acabar el vida 
 por qué no él sanar el herida 
 haber tanto cosa que uno él descuidar 
 ser que haber persona que nunca él olvidar 
 como haber momento que pa ' atrás no virar 
 Lara Marcy Gang 
 Pri-yah , yah Farru 
 querer volver al barrio de nuevo y por el calle correr 
 descalzo como chamaquito cuando jugar al escondel 
 amigo que ya no estar pero , my G , ya na ' él poder hacer 
 así ser el vida y así haber que aceptar él tal y como ser 
 a veces él ganar , a veces él perder 
 este ser mi destino y no ser por suerte 
 a yo el problema yo hacer más fuerte 
 y ser cantazo pa ' que yo despertar 
 el tiempo él haber ir , ido , pero yo no olvidar , olvidar 
 el cosa que yo haber vivir con el mío ' 
 haber ser más que bendecir , gracia a Dios que yo haber cumplir 
 todo él que él haber pedir , vivir más que agradecido 
 por siempre agradecido 
 porque el tiempo pasar y yo 
 yo seguir preguntar , cómo él parar el reloj 
 por qué él tener que acabar el vida 
 por qué no él sanar el herida 
 haber tanto cosa que uno él descuidar 
 ser que haber persona que nunca él olvidar 
 como haber momento que pa ' atrás no virar 
 querer tener uno máquina del tiempo 
 Para viajar directamente hasta el pasado 
 y disfrutar yo uno a uno ese momento 
 Porque no yo perdonar haber él ignorar 
"
xaime martínez_horizon: new dawn.txt	"El camino, empinado,
el año entero está lleno de nieve
tal vez en lo más alto
¡no! ¡nunca en lo más alto! aunque naturaleza
conspire contra ti aún conserva el sentido del pudor
y en un recodo, casi en lo más alto,
una flor de metal abre un poema:
Relámpago
(lo que creíste caras
eran las plumas de plumeros de la pampa)."	"el camino , empinado , 
 el año entero estar lleno de nieve 
 tal vez en él más alto 
 ¡ no ! ¡ nunca en él más alto ! aunque naturaleza 
 conspirar contra tú aún conservar el sentido del pudor 
 y en uno recodo , casi en él más alto , 
 uno flor de metal abrir uno poema : 
 Relámpago 
 ( él que creíste cara 
 ser el pluma de plumero de el pampa ) ."
luis álvaro_es tendencia.txt	"Es tendencia el coronavirus
no solo en redes
en la paz y en el gregorio marañon
es muy popular
cuídate, no te toques la nariz
como hizo Ortega Smith
acusación sin fundamentar
está infectada Irene Montero
Pero fue con sentido
infectado también Santiago Abascal
efecto llamada
ay de ti si eres de un grupo de riesgo
octogenarios y enfermos
pero sobre todo autónomos
la mejor campaña de publicidad
es el boca a boca
te hablen bien o te hablen mal
pero te hablen a menos de un metro de distancia
si amas la vida
lávate las manos constantemente
como el gobierno con la manifestación de la mujer
y si vas a comprar
relájate
coge lo que vayas a usar
cuanto más lleno el carro, más subnormal
y de vez en cuando
algún joven cae
y es cuando empiezas a rallarte
¿esto era una gripe?
"	"ser tendencia el coronavirus 
 no solo en red 
 en el paz y en el gregorio marañon 
 ser mucho popular 
 cuidar tú , no tú tocar el nariz 
 como hacer Ortega Smith 
 acusación sin fundamentar 
 estar infectado Irene Montero 
 pero ser con sentido 
 infectado también Santiago Abascal 
 efecto llamado 
 ay de tú si ser de uno grupo de riesgo 
 octogenario y enfermo 
 pero sobre todo autónomo 
 el mejor campaña de publicidad 
 ser el boca a boca 
 tú hablar bien o tú hablar mal 
 pero tú hablar a menos de uno metro de distancia 
 si amar el vida 
 lavar tú el mano constantemente 
 como el gobierno con el manifestación de el mujer 
 y si ir a comprar 
 relájatar 
 coger él que ir a usar 
 cuanto más lleno el carro , más subnormal 
 y de vez en cuando 
 alguno joven caer 
 y ser cuando empezar a rallar tú 
 ¿ este ser uno gripe ? 
"
